fuente;fecha;titulo;texto;estado;url
Maldita;2025-09-05T00:38:08+00:00;Maldito Bulo·Maldita.es - Periodismo para que no te la cuelen;;falso;https://maldita.es/malditobulo/956/?p=2
Maldita;2025-06-06T15:09:40+00:00;"Hacienda y las ""multas de 150.000 euros"" por retirar ""3.000 euros sin justificar para qu√©"": son los bancos los que notifican a la Agencia Tributaria las operaciones, no los usuarios¬∑Maldita.es - Periodismo para que no te la cuelen";Lo que circula: contenidos que dicen que Hacienda comenzar√° a cobrar ‚Äúmultas de hasta 150.000 euros‚Äù a las personas que ‚Äúretiren 3.000 euros‚Äù o m√°s de las cuentas personales ‚Äúsin justificarlo‚Äù ante la Agencia Tributaria. Lo que sabemos: Hacienda dice a Maldita.es que los usuarios no son quienes deben ‚Äújustificar‚Äù ni ‚Äúavisar, ni antes, ni despu√©s‚Äù ante Hacienda las operaciones de ese tipo, son las propias entidades bancarias quienes deben hacerlo. A√±aden que ‚Äúson falsas‚Äù las afirmaciones sobre esas supuestas multas. La cantidad de ‚Äú150.000 euros‚Äù de la que hablan los contenidos coincide con las sanciones previstas para infracciones m√≠nimas del delito de blanqueo de capitales. Anteriormente, la Agencia Tributaria se√±al√≥ a Maldita.es que de manera general no multan ‚Äúpor ingresos ni retiradas de dinero‚Äù, a no ser que se detecte que una cantidad de dinero es ‚Äúde origen desconocido y no se ha declarado correctamente‚Äù. üì≤ ¬°Pincha aqu√≠ y sigue el canal de WhatsApp de Maldita.es para que no te la cuelen! ‚ÄúSi tengo 3.000 euros en el banco, y me sale de los huevos sacar 3.000 euros que son m√≠os, para lo que me salga de los huevos, Hacienda me puede multar‚Äù. Algunos de estos mensajes, que circulan en los √∫ltimos meses, se refieren a esa supuesta multa como ‚Äúnueva‚Äù. Dimas Su√°rez, gestor administrativo y maldito que nos ha prestado sus superpoderes, explica a Maldita.es que ‚Äúno hay ninguna multa por retirar dinero en efectivo de una cuenta propia, sea la cantidad que sea. La retirada de efectivo no es una operaci√≥n sujeta a tributaci√≥n por s√≠ sola‚Äù. Desde el gabinete de comunicaci√≥n del Ministerio de Hacienda explican a Maldita.es que ‚Äúes falso‚Äù y que ‚Äúel cliente no nos tiene que avisar, ni antes, ni despu√©s‚Äù. A√±aden que los bancos informan desde siempre peri√≥dicamente de esas operaciones y que ‚Äúla AEAT trata directamente con los bancos, no con los clientes de estos‚Äù. De acuerdo con la Ley General Tributaria, ‚Äúlas entidades de cr√©dito y las dem√°s entidades que (...) se dediquen al tr√°fico bancario o crediticio (...) deber√°n incluir en la declaraci√≥n informativa de las imposiciones, disposiciones de fondo y de los cobros de cualquier documento, cuando su importe sea superior a 3.000 euros‚Äù. Es decir, son los bancos quienes tienen que trasladar la informaci√≥n de las operaciones por tales montos a Hacienda, no el usuario. En relaci√≥n con otros contenidos que han circulado anteriormente sobre otras operaciones que supuestamente ten√≠an que ser notificadas, desde la Agencia Tributaria explicaron a Maldita.es que no multan ‚Äúpor ingresos ni retiradas de dinero‚Äù, ya que esto no se considera un uso fraudulento, a no ser que se detecte que una cantidad de dinero es ‚Äúde origen desconocido y no se ha declarado correctamente‚Äù, a√±aden. Tambi√©n indicaron que esta informaci√≥n se solicita para el control del fraude financiero y para ajustar mejor la declaraci√≥n de la renta de los contribuyentes. Los contenidos hablan de ‚Äúmultas de 150.000 euros‚Äù. En Maldita.es consultamos con distintos expertos que nos brindaron sus superpoderes para analizar este tema. Rosa Mar√≠a Gal√°n S√°nchez, profesora titular de Derecho Financiero y Tributario en la Universidad Complutense de Madrid, apunta como una posible explicaci√≥n a la Ley de Prevenci√≥n del Blanqueo de Capitales. En esa misma direcci√≥n se√±ala Dimas Su√°rez al decir que ‚Äúla cifra de 150.000‚Ç¨ posiblemente est√© relacionada con los umbrales de blanqueo de capitales, donde se consideran operaciones de riesgo las que superan ciertos umbrales‚Äù. Al revisar la Ley de Prevenci√≥n del Blanqueo de Capitales, vemos en su art√≠culo 56 que la multa m√≠nima para una infracci√≥n grave es de 150.000 euros. Sin embargo, el retirar 3.000 euros de una cuenta no es una infracci√≥n, mucho menos una infracci√≥n grave, como hemos explicado antes. De acuerdo con esa misma ley, el usuario s√≠ debe notificar a la Agencia Tributaria cuando el retiro de dinero supere los 100.000 euros. En este art√≠culo ha colaborado con sus superpoderes el maldito y gestor administrativo Dimas Su√°rez. Gracias a vuestros superpoderes, conocimientos y experiencia podemos luchar m√°s y mejor contra la mentira. La comunidad de Maldita.es sois imprescindibles para parar la desinformaci√≥n. Ay√∫danos en esta batalla: m√°ndanos los bulos que te lleguen a nuestro servicio de Whatsapp, pr√©stanos tus superpoderes, difunde nuestros desmentidos y hazte Embajador. ¬øCrees que te ha llegado un bulo? Verifica en nuestro chatbot de WhatsApp (+34 644 229 319);falso;https://maldita.es/malditobulo/20250901/hacienda-multa-retiro-dinero-sin-justificar/
Maldita;2023-12-19T09:01:36+00:00;No, no hay un comunicado de 16 pa√≠ses europeos contra Espa√±a por la amnist√≠a en el que piden que se cancelen los fondos europeos¬∑Maldita.es - Periodismo para que no te la cuelen;‚Äú16 pa√≠ses europeos emiten un comunicado en contra de la amnist√≠a y piden cancelar los fondos a Espa√±a‚Äù. En redes sociales se mueve esta narrativa que a√±ade que ‚ÄúLas tv y prensa espa√±olas reciben √≥rdenes de S√°nchez a las 16 horas de omitir cualquier informaci√≥n al respecto (sic)‚Äù. Sin embargo, es un bulo. No hay registro en ninguna web, ni redes sociales oficiales ni en publicaciones de medios de comunicaci√≥n, tanto espa√±oles como extranjeros, de la existencia de ese presunto comunicado. El Departamento de Prensa del Consejo de la Uni√≥n Europea y el Ministerio de Asuntos Exteriores afirman a Maldita.es que no tienen constancia ni han recibido ning√∫n comunicado de esa naturaleza. Tambi√©n en Facebook y TikTok encontramos ejemplos de exactamente el mismo mensaje. üì≤ ¬°Pincha aqu√≠ y sigue el canal de WhatsApp de Maldita.es para que no te la cuelen! En diciembre de 2023, cuando la narrativa llevaba ya algunos a√±os circulando, Maldita.es se puso en contacto con el Ministerio de Asuntos Exteriores, Uni√≥n Europea y Cooperaci√≥n para consultar sobre este tema. Su respuesta, por v√≠a telef√≥nica, fue: ‚ÄúNo hemos recibido ning√∫n comentario, ni tenemos ninguna constancia de que exista‚Äù. En agosto de 2025, que ha vuelto a circular, Maldita.es se ha puesto en contacto con el Ministerio de Asuntos Exteriores, Uni√≥n Europea y Cooperaci√≥n, y al de Justicia (que no respondi√≥ en la primera versi√≥n) por si hubiera alguna novedad desde diciembre de 2023, pero no ha habido respuesta hasta el momento de publicar este art√≠culo. ¬øCrees que te ha llegado un bulo? Verifica en nuestro chatbot de WhatsApp (+34 644 229 319) En las publicaciones en redes sociales que hablan sobre ese supuesto comunicado no se menciona qui√©nes ser√≠an esos 16 pa√≠ses. Tampoco incluyen ninguna prueba ni ning√∫n enlace en el que se profundice al respecto. Maldita.es pregunt√≥ en el Departamento de Prensa del Consejo de la Uni√≥n Europea, desde donde tanto en 2023 como en la de 2025 han respondido que ‚Äúesa petici√≥n no ha sido presentada al Consejo‚Äù. Al hacer una revisi√≥n en las p√°ginas de la Uni√≥n Europea, la Comisi√≥n Europea y el Parlamento Europeo, as√≠ como sus canales oficiales en redes sociales, damos con que no hay rastro alguno de ning√∫n comunicado como el referido. La narrativa dice que ‚Äúla tv y la prensa espa√±olas reciben √≥rdenes de [Pedro] S√°nchez de omitir cualquier informaci√≥n al respecto‚Äù. Sin embargo, no solo en medios espa√±oles no hay constancia de que hubiese habido tal pronunciamiento. La prensa extranjera, fuera de Espa√±a, tampoco recoge ninguna publicaci√≥n relacionada.;falso;https://maldita.es/malditobulo/20250901/comunicado-paises-europeos-amnistia-cortar-fondos-Espana/
Maldita;2025-09-05T00:38:12+00:00;Maldito Bulo·Maldita.es - Periodismo para que no te la cuelen;;falso;https://maldita.es/malditobulo/5/?p=3
Maldita;2025-09-05T00:38:07+00:00;Maldito Bulo·Maldita.es - Periodismo para que no te la cuelen;;falso;https://maldita.es/malditobulo/2/?p=2
Maldita;2025-09-05T00:38:10+00:00;Maldito Bulo·Maldita.es - Periodismo para que no te la cuelen;;falso;https://maldita.es/malditobulo/3/?p=3
Colombiacheck;2025-09-04T22:49:49+00:00;Montaje de video que muestra una captura ficticia de Maduro habría sido creado con IA;Falso Falso Falso Falso Falso Falso Falso Falso Falso Un video manipulado muestra al gobernante de Venezuela, Nicolás Maduro, supuestamente siendo detenido por dos militares y luego subido a un avión. El montaje circula en redes sociales con el mensaje: “Por fin!!! Capturado” (sic). El contenido es falso. Maduro no ha sido capturado y la grabación fue manipulada digitalmente, al parecer, con inteligencia artificial (IA). La desinformación se difundió después de que el Gobierno de Estados Unidos acusó al mandatario venezolano de liderar el ‘Cartel de los Soles’, una red de tráfico de drogas que involucra a políticos y militares del país suramericano, y aumentó a 50 millones de dólares la recompensa por información que conduzca a su captura. El video, de 13 segundos, fue publicado el 21 de agosto en Facebook por la creadora digital Daniela Michelson, cuyo contenido es principalmente de memes. A la fecha supera los 4 millones de reproducciones y tiene 19.000 reacciones. También fue difundido por el canal de YouTube ‘El mermas’ (@luzadrianaguevara1295), que publica contenido de entretenimiento. Una búsqueda en Google con las palabras clave “capturan a Nicolás Maduro” o “detención de Nicolás Maduro” no arrojó reportes de medios internacionales que confirmen su captura. Además, después del 21 de agosto, Maduro ha aparecido en eventos públicos en Venezuela (1, 2, 3). Las imágenes que muestran al mandatario sentado al lado de dos banderas, una de Venezuela y otra blanca, corresponden a una reunión del 11 de marzo de 2025 en el Ministerio del Poder Popular de Economía y Finanzas. A este video se le agregaron digitalmente los dos militares que lo detienen, porque no aparecen en la grabación original. Así mismo, la imagen de Maduro de pie en la puerta de un avión corresponde al jet privado en el que realizaba viajes internacionales y que fue confiscado por Estados Unidos en República Dominicana y trasladado a Fort Lauderdale en 2024, como se puede ver en esta nota de Telemundo 51. Al video también le agregaron digitalmente los militares que lo suben a la aeronave. Al analizar el video, encontramos algunos indicios de que una parte pudo haber sido generada con inteligencia artificial. Por ejemplo, cuando los militares levantan de la silla a Maduro, en algunos fragmentos la mano de uno de ellos se ve difuminada o más pequeña. Luego, cuando le dan la vuelta a Maduro para subirlo al avión, el militar del lado izquierdo parece que estuviera en el aire porque su posición no se corresponde con la elevación de la puerta del avión. Además, la cara de Maduro se ve distinta, más redonda. Como una parte del video usa imágenes reales, revisamos los fotogramas en los que Maduro es capturado con Hive Moderation y WasItAi, herramientas para detectar contenido generado con inteligencia artificial. Ambas coincidieron en que es probable que las imágenes hayan sido creadas con esta tecnología. Algunos videos también pueden ser manipulados con aplicaciones de edición como Adobe After Effects como lo hicieron con este de Donald Trump supuestamente bailando en el techo de la Casa Blanca. En Colombiacheck verificamos recientemente una imagen falsa de Maduro siendo apresado por militares de Estados Unidos. Igualmente, nuestros colegas de La Silla Vacía, Fast Check y El Sabueso de Animal Político también han desmentido desinformaciones similares.;falso;https://colombiacheck.com/chequeos/montaje-de-video-que-muestra-una-captura-ficticia-de-maduro-habria-sido-creado-con-ia
Colombiacheck;2025-08-25T17:14:00;Video incita negacionismo del asesinato de Miguel Uribe con montaje de audio a su viuda en el funeral;Falso Falso Falso Falso Falso Falso Falso Falso Falso Un video propaga el negacionismo del asesinato del senador y precandidato presidencial opositor Miguel Uribe Turbay con base en que no mostraron su cuerpo en su funeral y utilizando el clip de una conversación de su viuda, María Claudia Tarazona, con un audio falso donde se oye: “Ya consignaron la plata de la póliza. Ya Miguel está viajando a Miami. Húyele”. El audiovisual usa imágenes de las exequias en la Catedral Primada para afirmar que hubo “gestos extraños en sus familiares”. También incluye la grabación de un hombre con alzacuello que insinúa que el crimen sería un caso de “falsos positivos de difuntos” y un clip de un paciente saliendo de una sala de operaciones como si fuera de Uribe y que ya habíamos desmentido anteriormente. En realidad, la muerte del congresista del Centro Democrático fue confirmada el 11 de agosto por la Fundación Santa Fe, donde estuvo hospitalizado por más de dos meses. Además, el audio de la supuesta conversación de Tarazona presenta señales de haber sido generado con inteligencia artificial (IA). La desinformación fue publicada el 16 de agosto por la cuenta de Facebook Amazing Changes Fenix, que suele difundir chismes de farándula y dos días antes había compartido otro video con la misma narrativa. El audiovisual ya supera los 6 millones de reproducciones y fue replicado por la usuaria Lidia Molina Ordoñez, quien difunde contenido a favor del gobierno de Gustavo Petro. La Fundación Santa Fe informó que Uribe falleció a la 1:56 de la madrugada del 11 de agosto, tras ser sometido a varias cirugías debido a las heridas que sufrió en el atentado. pic.twitter.com/Jo461A8VbE Revisamos las transmisiones de la misa fúnebre en la Catedral Primada hechas por medios como El País, Noticias Caracol y Noticias RCN. En el video de Noticias Caracol, varios clips coinciden con los usados en el video viral. En el minuto 59:50, durante la comunión, Tarazona se abraza con la madrastra del difunto senador, Delia Jaramillo, y ella sonríe. Luego, en el minuto 1:00:00, se le acerca nuevamente para decirle algo al oído. Aunque las imágenes son auténticas, el audio presenta señales de haber sido generado con inteligencia artificial. El movimiento de los labios no coincide con lo que está diciendo. Además, pronuncia “Miami” en la forma normativa [miámi] que sugiere la Real Academia Española (RAE), no de manera similar al inglés como es más común en América Latina. También conjuga el verbo ‘huír’ con una terminación ‘-le’ que es extraña para el español de Colombia. Ese uso es más propio de otros países, como México. Analizamos el fragmento del video con las herramientas Hive Moderation y Deepware, que detectan si los contenidos fueron generados con inteligencia artificial. La primera arrojó un 87,4% de probabilidades y la otra lo clasificó como sospechoso. Además, el análisis del audio con las herramientas avanzadas de InVID arrojó un 87% de probabilidades de que haya sido generado con inteligencia artificial. Si bien estas herramientas pueden dar falsos positivos y los resultados no dan una certeza del 100%, las inconsistencias en los labios y la pronunciación refuerzan la conclusión de que efectivamente se trata de IA. Esta desinformación se suma a la narrativa revictimizante que difundieron cuentas afines al petrismo con base en otras mentiras (1, 2, 3) cuando Uribe estaba hospitalizado. La muerte del senador opositor tampoco bastó para detener estos ataques.;falso;https://colombiacheck.com/chequeos/video-incita-negacionismo-del-asesinato-de-miguel-uribe-con-montaje-de-audio-su-viuda-en
Colombiacheck;2025-08-25T17:14:00;Imitación a BBC sigue libreto de Petro y ELN sobre asesinato de Uribe Turbay para atacar a su papá;"Falso Falso Falso Falso Falso Falso Falso Falso Falso Un montaje sobre una captura de pantalla de la cuenta en X de BBC News (World), @BBCWorld, afirma que el asesinato del senador de oposición Miguel Uribe Turbay “habría sido un ajuste de cuentas” y que la Fiscalía abrió investigación en contra de su padre, Miguel Uribe Londoño, quien lo reemplazó como precandidato presidencial del Centro Democrático: La imagen falsa dice textualmente: “El asesinato de Miguel Uribe Turbay habría sido un ajuste de cuentas. Según se dio a conocer, La fiscalía abrió investigación al padre : Miguel Uribe Londoño, quien tendría varias deudas millonarias con negocios supuestamente turbios con mafias y esmeralderos” (sic). Se trata de un montaje que suplanta al sistema informativo público británico. Además, ningún medio ha registrado la supuesta apertura de un proceso contra el padre del difunto congresista, que tampoco ha anunciado el ente acusador. Por el contrario, este ha señalado que el atentado fue un crimen político. La desinformación circuló sobre todo en cuentas afines al gobierno de Gustavo Petro justo el 20 de agosto, cuando el presidente sugirió que habría una relación de una supuesta “junta mundial del narcotráfico” con el magnicidio. “Es probable, la Fiscalía nos debe decir, que el asesino del senador Uribe Turbay está ahí, por un negocio de esmeraldas”, dijo, en línea con un pronunciamiento previo del ELN. Para verificar la imagen, buscamos la palabra clave “Miguel Uribe” en el perfil de X de @BBCWorld, pero no encontramos la noticia que se le atribuyó. En cambio, el único resultado de la cuenta que contiene esa palabra clave es un trino del 11 de agosto en el que se anunció la muerte del congresista. Cabe decir que ningún resultado de la cuenta @BBCWorld está en español, como se ve en la captura de pantalla que se viralizó en redes sociales. Además, el estilo de los trinos es distinto al de la imagen viral. En la mayoría de los casos, consta de solo un titular y la imagen que genera el enlace de la noticia. El montaje tampoco guarda semejanzas con la estructura de cualquier trino de la red social X. En este caso, es un mensaje con varios errores ortográficos y de formato, como el color, la alineación y el tipo de letra, que está puesto entre los datos de seguidores y la biografía de la supuesta cuenta, como se puede ver a continuación. Los contenidos para la comunidad de habla hispana son publicados en @bbcmundo, pero tampoco allí encontramos resultados que correspondan con el texto que se presenta en la suplantación. Las noticias más recientes con el nombre del senador son sobre su muerte, un perfil suyo y de su madre, la periodista Diana Turbay, también asesinada, y un reporte sobre cómo avanza la investigación del atentado. En este último, no hay ninguna mención de su padre ni tampoco se esboza la hipótesis de que el asesinato del exsenador fue por un supuesto “ajuste de cuentas” por deudas que Uribe Londoño haya tenido con “mafias y esmeralderos”. Sobre las hipótesis que se manejan, el informe señala que la Fiscalía “arrancó la investigación apuntando a una presunta red de sicarios”. Más adelante agrega que una de las personas detenidas afirmó que el ataque se pudo haber dado “por el hecho de ser senador y estar desarrollando campaña política como precandidato a la presidencia"". La fiscal del caso se refirió a ello en una audiencia de junio, en la que dijo que la tentativa de homicidio se produjo por la condición de senador y precandidato que tenía Miguel Uribe. El artículo de la organización internacional de noticias agrega que Petro se ha referido a una “mafia” que estaría detrás del atentado, pero advierten que el mandatario “no ha proporcionado pruebas al respecto y las autoridades siguen considerando otras hipótesis”. La narrativa sobre el supuesto “ajuste de cuentas” se construyó desde que Eliécer Chamorro, alias ‘Antonio García’, máximo líder del ELN (Ejército de Liberación Nacional), publicó un artículo el 19 de agosto en una revista de esa guerrilla en el que negó su participación en el atentado y sugirió, sin pruebas, que eran “algunos esmeralderos” quienes podrían estar detrás del magnicidio, revictimizando a Uribe Londoño al vincularlo con esas supuestas acciones y responsabilizarlo por supuestamente “poner en riesgo” a su hijo. Un día después, el presidente Petro hizo eco de esa versión en su cuenta de X. El mismo día que se conoció el fallecimiento del senador, la Fiscalía emitió un comunicado en el que recordó que los autores materiales del magnicidio ya responden ante la justicia y que “continúa el compromiso de identificar a los determinadores del crimen, tarea en la que no se descarta ninguna hipótesis”. La entidad no ha dicho que ha abierto una investigación a su padre, Miguel Uribe Londoño. Esta falsa narrativa se asemeja a las numerosas conjeturas que circularon cuando el exsenador Uribe Turbay se encontraba internado luchando por su vida. Todas ellas apuntan a responsabilizar a sus allegados, como su familia, la derecha política o su partido, el Centro Democrático. En X las publicaciones de las cuentas ‘Mamertos 2.0’ (@Mamertos0), ‘Derli López’ (@derlilopeza), ‘Colombia tiene la palabra’ (@cetaji), ‘Cesar Lopez’ (@CesarLo85078640), ‘Mely’ (@melidardila), y ‘Orlando Curioso’ (@Orlando71156528), suman más de 300.000 visualizaciones. La mayoría corresponde a perfiles que constantemente difunden desinformación a favor del gobierno de Gustavo Petro o políticos afines y en contra de la oposición. La desinformación también se compartió en Facebook.";falso;https://colombiacheck.com/chequeos/imitacion-bbc-sigue-libreto-de-petro-y-eln-sobre-asesinato-de-uribe-turbay-para-atacar-su
Colombiacheck;2025-04-09T12:10:00;Mentira sobre empleo del esposo de Agudelo, arma contra Balanta en guerra sucia por C. Constitucional;"Falso Falso Falso Falso Falso Falso Falso Falso Falso Un mensaje viral en la red social X afirma falsamente que “PETRO acaba de entregarle contratos al esposo de la senadora del partido MIRA Paola Agudelo par que vote por La candidata PETRISTA” (sic) en la actual elección para la Corte Constitucional, con base en una parte de un documento donde Andrés Rodolfo Rueda, pareja de la congresista, aparece vinculado al Fondo Único de las Tecnologías de la Información y las Comunicaciones (Futic). El trino de la cuenta ‘Misión cumplida’ (@ojocolombia2026), frecuente desinformadora de derecha, tiene más de 111.200 visualizaciones y se refiere a la única mujer de la terna, María Patricia Balanta. Incluso advierte sin mayores evidencias que el mandatario “quedará con el poder completo” en el alto tribunal por cuenta del supuesto hecho denunciado. Sin embargo, la publicación es falsa. La Corte Suprema abrió esta convocatoria para candidaturas a la Constitucional en junio de 2025. El documento utilizado como base de la mentira realmente corresponde a una declaración de conflictos de interés por un contrato que se ejecutó y terminó al final de 2024. No hay registros de vinculaciones más recientes de Rueda con el Gobierno que realmente sean simultáneas con este proceso de selección. Otras publicaciones en X y Facebook también usaron esa imagen con mensajes parecidos para impulsar la misma narrativa. En la primera, uno de los usuarios que la compartió con más impacto –más de 70.000 vistas– fue el activista Santiago Alvarán (@SALVARANM), frecuente desinformador de derecha que está en campaña por el precandidato presidencial Abelardo de la Espriella y el grupo político por el que recoge firmas para inscribirse, Defensores de la Patria. El documento asociado a Andrés Rodolfo Rueda Garzón, esposo de la primera vicepresidenta del Senado, Ana Paola Agudelo, no se refiere a un contrato actual. Es su declaración de bienes, rentas y conflictos de intereses publicada el 1 de septiembre de 2024 en el sistema de consulta ciudadana del Departamento Administrativo de la Función Pública por una vinculación que efectivamente tuvo con el Futic, unidad adscrita al Ministerio de Tecnologías de la Información y las Comunicaciones. Según el Sistema Electrónico de Contratación Pública (Secop), la ejecución empezó a mediados de ese mes y terminó el 31 de diciembre. La pareja de la congresista recibió unos 7,7 millones de pesos mensuales por por prestación de servicios profesionales a la Oficina de Fomento Regional “como apoyo en la implementación de las estrategias de conectividad para promover y fomentar la gestión de políticas, proyectos, planes, programas y estrategias orientadas al desarrollo, masificación y acceso a internet”. Rueda, que también trabajó para Migración Colombia en el gobierno derechista de Iván Duque (2018-2022) y para Planeación Nacional en el actual, no registra ninguna vinculación más reciente con el Estado. De hecho, como también constataron nuestros colegas de La Silla Vacía, actualmente no aparece en el directorio del Sistema de Información y Gestión del Empleo Público (Sigep), que administra Función Pública. Por tanto, es falso que Petro “acaba de entregarle” el contrato en cuestión para que Agudelo vote por Balanta en septiembre de 2025. Incluso en marzo, ya meses después de ese trabajo de su esposo, la senadora se quejó públicamente por ataques que recibió del presidente, en medio del debate sobre la reforma laboral del gobierno a la que se opusieron ella y su partido, declarado oficialmente en independencia. Contrario a la narrativa viral, el contrato en cuestión no guarda ninguna relación con las fechas para la escogencia de la persona que reemplazará al magistrado constitucional José Fernando Reyes, quien terminará su periodo en septiembre. Además, el Gobierno no tuvo participación directa en esta selección. El proceso arrancó con la convocatoria pública 02-2025, abierta por la Corte Suprema de Justicia el 8 de junio, en la que se recibieron 68 postulaciones. Tras la evaluación de requisitos, entrevistas y filtros, la terna quedó conformada el 14 de agosto por Patricia Balanta Medina, Carlos Camargo Assis y Jaime Humberto Tobar. Es decir que todo esto fue entre cinco y siete meses después de terminado el trabajo de Rueda para el Futic y que las candidaturas que estudia el Senado fueron definidas en la Rama Judicial. Aunque la Presidencia sí está a cargo de postular personas para otras sillas de la Corte Constitucional, este no es el caso en la del saliente Reyes y, por tanto, Petro no fue quien propuso a Balanta ni a los demás. El Senado, conforme a la Constitución (art. 239) y la Ley 5 de 1992, tiene la facultad de elegir a los magistrados de este alto tribunal a partir de las ternas presentadas, según el caso, por la Corte Suprema, el Presidente o el Consejo de Estado. Esta vez, la votación se realizará este miércoles, 3 de septiembre. Hasta ahora, según análisis de medios de comunicación, está dividido en empate a 52 votos entre Balanta y Camargo. El exdefensor del pueblo, cuestionado por clientelismo y familiar de políticos conservadores de Córdoba, es el candidato de la derecha. La actual magistrada y expresidenta del Tribunal Superior de Buga acumula 45 años de experiencia judicial y recientemente ha negado cualquier vínculo con el gobierno. No obstante, cuenta con el respaldo de la bancada oficialista, la gobernadora del Valle del Cauca y baronesa del Partido de la U, Dilian Francisca Toro, y sectores de Cambio Radical y Alianza Verde. Según el artículo 241 de la Constitución Política, la Corte Constitucional es un órgano autónomo e independiente, cuya función es guardar la integridad y supremacía de la Constitución, no actuar bajo directrices del Ejecutivo. Está compuesta por nueve magistrados elegidos para períodos individuales de ocho años de ternas, como ya se dijo, presentadas por instituciones distintas. Solo tres asientos corresponden a postulaciones provenientes de la Presidencia. Dos de estos han sido puestos por Petro a consideración del Senado: su exsecretario jurídico Vladimir Fernández y su exabogado Héctor Carvajal. La tercera, Paola Meneses, fue postulada por el gobierno de su amigo Iván Duque, en el que trabajó, y su periodo va hasta 2029, bajo la próxima administración. Un análisis de La Silla Vacía mostró que al menos seis integrantes del tribunal hasta finales de mayo, cuando se publicó la nota, votaban de forma variable con respecto a los proyectos y políticas del petrismo; es decir, a veces a favor y a veces en contra, por lo que no había bloques definidos. Sumados al único opositor casi seguro (su actual presidente, Jorge Ibáñez), podían hacer mayorías contrarias. Desde entonces, el único cambio ha sido justamente la entrada de Carvajal. En consecuencia, las cuentas no le darían el alegado “poder completo” al mandatario, incluso si Balanta resultara electa y fuera de su bolsillo. Así, la desinformación sobre el contrato de Rueda es parte de una guerra sucia de derecha contra la ternada. Lo que busca es tratar de darle peso a esa narrativa sobre el supuesto control de la Corte por parte del gobierno Petro, una amenaza sin bases sólidas en la configuración del ente judicial. X: Misión cumplida (@ojocolombia2026), cuenta propagandista desinformadora de derecha. Santiago Alvarán (@SALVARANM), activista a quien también hemos desmentido antes. ‘DESTRUCTOR II De Mamertos’ (@waldoalarconho1), otro frecuente desinformador de derecha. Facebook: Grupo ‘Gente Uribista y de Derecha’.";falso;https://colombiacheck.com/chequeos/mentira-sobre-empleo-del-esposo-de-agudelo-arma-contra-balanta-en-guerra-sucia-por-c
